departure_time,arrival_time,driver_code,dtg_status,driving_time,driving_distance,speed_max,speed_avg,rpm_max,rpm_avg,volt_min,volt_max,overspeed_time,accumulated_distance
2022-11-01 6:02:34,2022-11-01 6:04:35,3529073,0,121,0,0,0.0,777,499.8,280,285,0,1195264
2022-11-01 6:37:12,2022-11-01 6:41:39,3529073,0,267,0,8,0.7,873,514.3,255,285,0,1195264
2022-11-01 6:47:11,2022-11-01 8:37:39,3529073,0,6628,111,108,59.8,1750,995.0,275,285,0,1195375
2022-11-01 10:01:18,2022-11-01 10:02:29,3529073,0,71,0,17,5.6,1021,638.1,280,285,0,1195375
2022-11-01 10:07:24,2022-11-01 11:33:31,3529073,0,5167,81,108,56.0,1782,972.8,275,285,0,1195456
2022-11-01 12:40:48,2022-11-01 12:42:39,3529073,0,111,0,6,1.7,718,520.5,275,285,0,1195456
2022-11-01 12:45:57,2022-11-01 14:07:19,3529073,0,4882,81,109,59.4,1670,983.8,185,290,0,1195537
2022-11-01 15:40:57,2022-11-01 15:41:21,3529073,0,24,0,7,2.7,704,533.2,280,285,0,1195537
2022-11-01 15:48:32,2022-11-01 18:22:33,3529073,0,9241,128,109,49.6,1693,1029.4,275,285,0,1195665
2022-11-01 18:50:24,2022-11-01 18:51:23,3529073,0,59,0,8,2.5,833,537.2,275,285,0,1195665
2022-11-01 18:57:34,2022-11-01 21:00:27,3529073,0,7373,115,108,55.8,1613,957.0,275,285,0,1195780
2022-11-02 6:47:23,2022-11-02 8:44:19,3529073,0,7016,81,108,41.3,1780,879.3,270,290,0,1195861
2022-11-02 9:49:48,2022-11-02 9:51:41,3529073,0,113,0,8,1.8,865,536.8,280,285,0,1195861
2022-11-02 9:58:12,2022-11-02 11:17:15,3529073,0,4743,81,109,61.2,1605,1003.5,275,285,0,1195942
2022-11-02 12:59:52,2022-11-02 13:01:35,3529073,0,103,0,8,1.2,882,528.0,270,285,0,1195942
2022-11-02 13:06:35,2022-11-02 14:39:43,3529073,0,5588,81,108,51.8,1646,922.5,270,285,0,1196023
2022-11-02 14:43:45,2022-11-02 14:45:43,3529073,0,118,0,12,3.6,927,549.1,275,285,0,1196023
2022-11-02 15:50:27,2022-11-02 15:51:57,3529073,0,90,0,7,2.2,842,527.6,280,285,0,1196023
2022-11-02 15:59:27,2022-11-02 17:48:21,3529073,0,6534,81,108,44.4,1639,949.2,275,285,0,1196104
2022-11-02 18:21:07,2022-11-02 20:18:01,3529073,0,7014,81,108,41.3,1710,991.0,270,285,0,1196185
2022-11-03 6:25:12,2022-11-03 6:26:57,3529073,0,105,0,5,1.3,756,503.7,280,290,0,1196185
2022-11-03 6:54:25,2022-11-03 8:22:47,3529073,0,5302,81,107,54.8,1751,967.0,280,285,0,1196266
2022-11-03 9:41:08,2022-11-03 9:41:53,3529073,0,45,0,7,1.5,823,530.5,280,285,0,1196266
2022-11-03 9:47:53,2022-11-03 11:53:39,3529073,0,7546,128,109,60.8,1725,996.1,275,285,0,1196394
2022-11-03 12:34:48,2022-11-03 12:36:27,3529073,0,99,0,11,2.2,1174,567.9,280,285,0,1196394
2022-11-03 12:44:06,2022-11-03 13:08:35,3529073,0,1469,18,99,43.1,1548,879.5,275,285,0,1196412
2022-11-03 13:19:27,2022-11-03 14:36:09,3529073,0,4602,93,109,72.0,1667,1057.8,275,285,0,1196505
2022-11-03 16:01:44,2022-11-03 18:01:59,3529073,0,7215,81,107,40.2,1610,989.4,275,285,0,1196586
2022-11-03 18:53:16,2022-11-03 18:57:17,3529073,0,241,0,10,1.0,1061,524.2,265,285,0,1196586
2022-11-03 19:06:26,2022-11-03 20:50:35,3529073,0,6249,81,103,46.5,1571,900.0,270,285,0,1196667
2022-11-04 6:23:39,2022-11-04 8:57:39,3529073,0,9240,128,110,49.8,1756,926.9,275,285,0,1196795
2022-11-04 10:33:18,2022-11-04 10:33:45,3529073,0,27,0,7,2.8,791,544.2,280,285,0,1196795
2022-11-04 10:43:55,2022-11-04 12:48:17,3529073,0,7462,115,109,55.0,1718,970.2,200,285,0,1196910
2022-11-04 13:40:53,2022-11-04 15:36:05,3529073,0,6912,110,108,57.2,1754,958.6,275,285,0,1197020
2022-11-04 15:40:38,2022-11-04 15:47:07,3529073,0,389,0,14,1.4,1417,528.0,275,285,0,1197020
2022-11-04 16:33:32,2022-11-04 16:34:19,3529073,0,47,0,7,3.4,765,541.2,280,285,0,1197020
2022-11-04 16:34:34,2022-11-04 16:35:45,3529073,0,71,0,10,5.2,1067,650.5,220,285,0,1197020
2022-11-04 16:40:32,2022-11-04 21:31:51,3529073,0,17479,226,110,46.4,1802,952.7,275,285,0,1197246
2022-11-05 9:15:49,2022-11-05 9:31:01,3529073,0,912,0,8,0.3,929,506.6,280,290,0,1197246
2022-11-05 9:40:07,2022-11-05 12:07:09,3529073,0,8822,129,109,52.1,1670,978.8,275,285,0,1197375
2022-11-05 12:51:59,2022-11-05 14:56:39,3529073,0,7480,110,109,52.9,1732,966.1,275,285,0,1197485
2022-11-05 15:36:08,2022-11-05 15:36:11,3529073,0,3,0,7,5.2,727,591.7,275,285,0,1197485
2022-11-05 15:44:25,2022-11-05 16:07:31,3529073,0,1386,18,99,45.6,1568,910.3,250,285,0,1197503
2022-11-05 16:18:20,2022-11-05 20:27:43,3529073,0,14963,232,110,55.6,1698,989.4,275,285,0,1197735
2022-11-06 7:00:24,2022-11-06 7:09:59,3529073,0,575,0,0,0.0,613,497.7,220,285,0,1197735
2022-11-06 7:35:30,2022-11-06 8:05:09,3529073,0,1779,18,104,35.9,1503,793.0,280,285,0,1197753
2022-11-06 8:17:54,2022-11-06 10:20:17,3529073,0,7343,110,106,53.8,1610,1069.3,275,285,0,1197863
2022-11-06 10:42:14,2022-11-06 10:43:35,3529073,0,81,0,17,6.3,1303,642.2,210,285,0,1197863
2022-11-06 10:47:42,2022-11-06 12:30:59,3529073,0,6197,114,108,65.8,2011,1032.8,225,285,0,1197977
2022-11-06 12:36:07,2022-11-06 12:37:39,3529073,0,92,0,8,2.0,856,527.5,270,285,0,1197977
2022-11-06 13:37:24,2022-11-06 14:07:01,3529073,0,1777,18,98,35.8,1612,816.8,275,285,0,1197995
2022-11-06 14:18:14,2022-11-06 16:24:31,3529073,0,7577,104,108,49.3,1719,968.8,275,285,0,1198099
2022-11-06 17:21:39,2022-11-06 18:51:41,3529073,0,5402,81,105,53.6,1656,936.6,270,285,0,1198180
2022-11-06 20:39:18,2022-11-06 22:18:33,3529073,0,5955,81,105,48.9,1552,897.0,275,285,0,1198261
2022-11-07 7:12:42,2022-11-07 7:15:05,3529073,0,143,0,0,0.0,785,499.6,280,285,0,1198261
2022-11-07 7:53:52,2022-11-07 10:14:45,3529073,0,8453,111,112,46.9,1769,907.3,275,285,10,1198372
2022-11-07 10:21:20,2022-11-07 10:21:57,3529073,0,37,0,15,5.2,936,566.0,275,285,0,1198372
2022-11-07 11:36:51,2022-11-07 11:37:15,3529073,0,24,0,9,4.4,915,625.8,280,285,0,1198372
2022-11-07 11:43:28,2022-11-07 13:49:59,3529073,0,7591,111,110,52.2,1725,1024.8,220,285,0,1198483
2022-11-07 14:41:09,2022-11-07 14:42:17,3529073,0,68,0,17,5.0,1178,631.0,215,285,0,1198483
2022-11-07 14:48:53,2022-11-07 16:21:09,3529073,0,5536,81,109,52.3,1602,933.5,270,285,0,1198564
2022-11-07 17:18:19,2022-11-07 17:18:59,3529073,0,40,0,8,3.8,872,577.3,275,285,0,1198564
2022-11-07 17:29:23,2022-11-07 19:21:31,3529073,0,6728,81,108,43.2,1631,913.3,270,285,0,1198645
2022-11-07 20:05:27,2022-11-07 21:31:09,3529073,0,5142,81,110,56.1,1732,950.2,275,285,0,1198726
2022-11-08 7:47:12,2022-11-08 7:50:07,3529073,0,175,0,0,0.0,641,501.4,280,290,0,1198726
2022-11-08 8:15:04,2022-11-08 9:48:23,3529073,0,5599,81,109,52.1,1628,939.1,275,290,0,1198807
2022-11-08 11:19:43,2022-11-08 11:20:53,3529073,0,70,0,0,0.0,704,505.3,280,285,0,1198807
2022-11-08 11:32:23,2022-11-08 11:33:37,3529073,0,74,0,15,4.9,934,602.8,240,285,0,1198807
2022-11-08 11:37:18,2022-11-08 13:00:33,3529073,0,4995,81,108,57.9,1624,975.9,275,285,0,1198888
2022-11-08 13:04:39,2022-11-08 13:08:51,3529073,0,252,0,13,1.9,1030,520.3,275,285,0,1198888
2022-11-08 14:11:44,2022-11-08 14:12:47,3529073,0,63,0,11,2.7,1155,602.6,275,285,0,1198888
2022-11-08 14:19:02,2022-11-08 16:19:07,3529073,0,7205,81,109,40.3,1595,977.2,275,285,0,1198969
2022-11-08 16:40:31,2022-11-08 16:42:09,3529073,0,98,0,15,4.6,1060,602.9,275,280,0,1198969
2022-11-08 16:47:21,2022-11-08 18:44:33,3529073,0,7032,114,109,58.1,1678,1000.1,265,285,0,1199083
2022-11-08 19:18:30,2022-11-08 19:18:35,3529073,0,5,0,6,3.4,645,542.3,270,280,0,1199083
2022-11-08 19:54:57,2022-11-08 19:55:07,3529073,0,10,0,10,3.2,1072,633.2,275,285,0,1199083
2022-11-08 20:11:22,2022-11-08 22:05:55,3529073,0,6873,111,109,57.7,1724,954.6,190,285,0,1199194
2022-11-09 7:56:26,2022-11-09 8:05:25,3529073,0,539,0,0,0.0,640,499.4,280,285,0,1199194
2022-11-09 8:19:49,2022-11-09 10:00:45,3529073,0,6056,80,105,47.6,1843,915.4,275,285,0,1199274
2022-11-09 11:19:01,2022-11-09 11:22:01,3529073,0,180,0,10,1.1,1118,531.9,275,285,0,1199274
2022-11-09 11:27:55,2022-11-09 12:50:05,3529073,0,4930,82,109,59.0,1711,987.1,275,285,0,1199356
2022-11-09 14:31:38,2022-11-09 14:32:49,3529073,0,71,0,13,5.4,1159,671.2,275,285,0,1199356
2022-11-09 14:38:54,2022-11-09 16:47:13,3529073,0,7699,110,109,51.3,1589,1046.6,275,285,0,1199466
2022-11-09 17:25:58,2022-11-09 19:58:53,3529073,0,9175,128,110,50.1,1573,930.3,270,285,0,1199594
2022-11-09 20:41:58,2022-11-09 22:22:15,3529073,0,6017,111,109,65.8,1783,1037.6,275,285,0,1199705
2022-11-10 8:18:29,2022-11-10 8:21:31,3529073,0,182,0,2,0.1,774,499.3,280,290,0,1199705
2022-11-10 8:35:07,2022-11-10 8:36:43,3529073,0,96,0,7,1.1,675,513.0,280,290,0,1199705
2022-11-10 8:42:23,2022-11-10 9:11:09,3529073,0,1726,18,100,36.8,1706,845.7,280,285,0,1199723
2022-11-10 9:19:45,2022-11-10 10:46:19,3529073,0,5194,96,109,66.6,1565,1050.6,275,285,0,1199819
2022-11-10 11:41:31,2022-11-10 11:42:37,3529073,0,66,0,13,2.7,1391,615.4,280,285,0,1199819
2022-11-10 11:48:44,2022-11-10 13:26:15,3529073,0,5851,110,109,67.5,1861,1041.5,265,285,0,1199929
2022-11-10 13:32:07,2022-11-10 14:04:33,3529073,0,1946,1,7,0.1,1051,1019.6,275,285,0,1199930
2022-11-10 14:38:58,2022-11-10 14:40:57,3529073,0,119,0,12,0.7,1248,530.7,275,285,0,1199930
2022-11-10 14:44:47,2022-11-10 15:07:35,3529073,0,1368,17,105,46.4,1548,900.2,275,285,0,1199947
2022-11-10 15:18:37,2022-11-10 16:56:25,3529073,0,5868,93,110,56.5,1651,1029.0,275,285,0,1200040
2022-11-10 17:39:53,2022-11-10 19:40:13,3529073,0,7220,128,109,63.7,1766,1011.1,270,285,0,1200168
2022-11-11 6:44:57,2022-11-11 7:11:21,1,0,1584,18,104,40.1,1656,834.2,205,285,0,1200186
2022-11-11 7:20:30,2022-11-11 8:38:37,1,0,4687,93,110,70.8,1809,1137.9,215,285,0,1200279
2022-11-11 10:02:38,2022-11-11 10:04:49,8581563,0,131,0,7,0.8,744,381.4,225,285,0,1200279
2022-11-11 10:08:41,2022-11-11 11:40:03,8581563,0,5482,81,108,52.7,1794,992.5,205,285,0,1200360
2022-11-11 12:38:23,2022-11-11 12:41:17,8581563,0,174,0,8,1.2,818,460.4,205,285,0,1200360
2022-11-11 12:51:14,2022-11-11 14:46:53,8581563,0,6939,81,109,41.9,1817,1038.5,225,285,0,1200441
2022-11-11 15:43:42,2022-11-11 15:45:07,8581563,0,85,0,14,6.0,911,531.6,235,285,0,1200441
2022-11-11 15:49:25,2022-11-11 18:06:47,8581563,0,8242,128,109,55.6,1937,1029.3,220,285,0,1200569
2022-11-11 18:50:06,2022-11-11 18:53:23,8581563,0,197,0,6,0.7,818,278.5,165,285,0,1200569
2022-11-11 19:00:38,2022-11-11 19:23:51,8581563,0,1393,18,98,45.4,1865,934.0,195,285,0,1200587
2022-11-11 19:24:11,2022-11-11 19:25:59,8581563,0,108,0,7,1.4,859,498.4,255,285,0,1200587
2022-11-11 19:35:51,2022-11-11 21:12:55,8581563,0,5824,97,109,59.5,1853,1079.4,210,285,0,1200684
2022-11-12 6:47:11,2022-11-12 8:28:05,1,0,6054,80,109,47.8,1806,940.3,225,285,0,1200764
2022-11-12 8:31:17,2022-11-12 8:32:13,1,0,56,0,3,1.0,825,462.4,205,285,0,1200764
2022-11-12 9:49:12,2022-11-12 9:51:05,8581563,0,113,1,5,1.8,815,470.5,195,285,0,1200765
2022-11-12 10:00:40,2022-11-12 11:26:51,8581563,0,5171,81,109,56.2,1887,1037.9,205,285,0,1200846
2022-11-12 12:58:48,2022-11-12 13:01:35,8581563,0,167,0,11,3.3,804,552.2,280,285,0,1200846
2022-11-12 13:09:13,2022-11-12 15:10:07,8581563,0,7254,81,109,39.9,1907,1035.6,245,285,0,1200927
2022-11-12 15:15:21,2022-11-12 15:17:01,8581563,0,100,0,11,3.0,848,488.3,200,285,0,1200927
2022-11-12 15:20:11,2022-11-12 15:20:29,8581563,0,18,0,6,1.8,846,446.7,225,280,0,1200927
2022-11-12 15:21:27,2022-11-12 15:21:43,8581563,0,16,0,0,0.0,0,0.0,250,255,0,1200927
2022-11-12 15:25:45,2022-11-12 15:26:19,8581563,0,34,0,11,4.2,821,505.4,250,280,0,1200927
2022-11-12 15:52:16,2022-11-12 15:53:19,8581563,0,63,0,8,2.7,624,441.2,185,285,0,1200927
2022-11-12 16:00:39,2022-11-12 18:11:11,8581563,0,7832,81,106,37.1,1928,980.4,200,285,0,1201008
2022-11-12 18:52:27,2022-11-12 18:53:41,8581563,0,74,0,6,1.1,764,318.2,245,285,0,1201008
2022-11-12 18:58:59,2022-11-12 20:30:59,8581563,0,5520,81,103,52.7,1753,953.1,265,285,0,1201089
2022-11-12 20:31:53,2022-11-12 20:32:09,8581563,0,16,0,0,0.0,0,0.0,245,250,0,1201089
2022-11-12 20:32:18,2022-11-12 20:42:47,8581563,13,629,0,0,0.0,0,0.0,245,250,0,1201089
2022-11-12 20:47:44,2022-11-12 20:47:59,8581563,0,15,0,10,2.8,944,526.1,200,280,0,1201089
2022-11-12 20:57:14,2022-11-12 20:58:31,8581563,0,77,0,8,2.8,878,505.3,215,280,0,1201089
2022-11-12 20:58:56,2022-11-12 21:00:27,8581563,0,91,0,6,1.5,613,463.2,235,285,0,1201089
2022-11-13 6:29:16,2022-11-13 6:33:39,3529073,0,263,0,6,0.6,643,500.2,215,285,0,1201089
2022-11-13 6:49:32,2022-11-13 8:22:45,3529073,0,5593,81,108,52.0,1563,926.6,275,285,0,1201170
2022-11-13 9:41:13,2022-11-13 9:41:19,3529073,0,6,0,8,4.9,875,649.6,280,285,0,1201170
2022-11-13 9:46:47,2022-11-13 11:38:49,3529073,0,6722,128,107,68.3,1770,1040.9,270,285,0,1201298
2022-11-13 12:33:33,2022-11-13 12:35:15,3529073,0,102,1,7,1.9,838,533.4,280,285,0,1201299
2022-11-13 12:42:17,2022-11-13 15:14:21,3529073,0,9124,122,113,48.0,1762,905.6,275,285,26,1201421
2022-11-13 16:01:13,2022-11-13 18:01:45,3529073,0,7232,81,109,40.1,1756,981.3,275,285,0,1201502
2022-11-13 18:58:13,2022-11-13 20:51:55,3529073,0,6822,81,108,42.7,1599,885.1,275,285,0,1201583
2022-11-14 6:23:13,2022-11-14 9:07:03,3529073,0,9830,134,114,48.8,1768,923.6,270,285,16,1201717
2022-11-14 10:32:48,2022-11-14 10:32:59,3529073,0,11,0,6,3.7,728,535.5,270,285,0,1201717
2022-11-14 10:43:57,2022-11-14 12:50:45,3529073,0,7608,114,111,53.9,1696,949.3,275,285,20,1201831
2022-11-14 13:44:08,2022-11-14 15:29:31,3529073,0,6323,111,109,62.5,1722,1039.0,215,285,0,1201942
2022-11-14 15:34:43,2022-11-14 15:47:11,3529073,0,748,0,8,0.8,805,505.3,275,285,0,1201942
2022-11-14 15:47:53,2022-11-14 15:48:11,3529073,0,18,0,0,0.0,0,0.0,250,255,0,1201942
2022-11-14 16:12:34,2022-11-14 16:14:01,3529073,0,87,0,11,5.0,800,553.9,280,285,0,1201942
2022-11-14 16:18:13,2022-11-14 16:19:23,3529073,0,70,0,12,3.0,1275,549.5,210,285,0,1201942
2022-11-14 16:35:09,2022-11-14 16:35:39,3529073,0,30,0,5,1.4,724,515.3,275,285,0,1201942
2022-11-14 16:39:53,2022-11-14 19:12:47,3529073,0,9174,114,110,44.7,1743,920.3,275,285,0,1202056
2022-11-14 19:40:45,2022-11-14 21:23:13,3529073,0,6148,111,110,64.4,1643,1009.7,275,285,0,1202167
2022-11-15 9:10:23,2022-11-15 9:16:19,3529073,0,356,0,0,0.0,763,499.4,280,290,0,1202167
2022-11-15 9:36:07,2022-11-15 9:37:31,3529073,0,84,0,8,2.1,824,559.8,280,285,0,1202167
2022-11-15 9:43:23,2022-11-15 11:51:45,3529073,0,7702,128,109,59.6,1664,993.6,275,285,0,1202295
2022-11-15 12:52:46,2022-11-15 12:53:15,3529073,0,29,0,11,4.5,818,540.2,275,285,0,1202295
2022-11-15 12:57:46,2022-11-15 14:39:51,3529073,0,6125,110,108,64.5,1624,1013.7,275,285,0,1202405
2022-11-15 15:35:36,2022-11-15 15:37:25,3529073,0,109,0,9,2.0,944,559.1,280,285,0,1202405
2022-11-15 15:44:08,2022-11-15 16:10:11,3529073,0,1563,18,104,40.6,1614,867.5,270,285,0,1202423
